text_segment,articles,compliance
A private individual complained to the Data Protection Commission of Bulgaria (KZLD) that a debt collection agency has information about her accounts and status of those accounts with the purpose of collecting tax owned by the complainant. The KZLD concluded that the agency had no legal basis to obtain and process the data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company collected personal data without accurate information regarding the collection of this data.,"Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
"According to the AEPD, Cafetería Nagasaki did not comply with its obligations under the GDPR because it installed surveillance cameras in such a way that it also monitored the public space outside of the restaurant which also captured pedestrians on the street.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"After a serious investigation, the DDPA surmised that the Hague Hospital failed to provide the appropriate security measures for possession of patient records. This investigation had started following several events when multiple staff hospital members had checked the personal data of a Dutch person. Measures were taken, and the hospital was warned – it would have to update its security measures by the 2nd of October 2019 or it would incur e penalty of 100.000 EUR every two weeks.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The company was fined because it operated a video surveillance system that had an observation angle that extended too far into the public traffic area. The video surveillance system was also not accompanied by any data protection notices.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The medical centers unlawfully processed personal data of the subject G.B. Software was used to generate the registration form for changing the GP, and it went ahead to the Regional Health Insurance Fund. After it arrived at another medical center, it was concluded that all parts had taken part in the unlawful processing of data.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"An internet service provider enables customers to easily request and receive their personal data in a structured, commonly used format, adhering to the right to data portability.",Not Specified,compliant
The company was not able to prove that an individual had given them consent to access and process their personal data with the goal of opening a telephone contract. The AEPD further explained that the company unlawfully disclosed the affected person&#8217;s personal data to third party credit agencies.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The Spanish Data Protection Authority explained that the school had transferred pictures of students to third parties who then posted those pictures online.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A restaurant chain implements a customer feedback system that anonymizes personal data, ensuring privacy while collecting valuable insights.",Not Specified,compliant
"The restaurant wanted to sanction an employee using images taken by another employee in the restaurant, to be used as evidence.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A data subject requested the erasure of the data processed by a debt collector who requested further personal information to identify the subject. After being provided with said information (place of birth, mother’s maiden name, etc), the debt collector stated that he could not comply with the request. The debt collector invoked the Accountancy Act and other internal policies for why he was obliged to retain backup data copies. The NAIH issued a fine because the data controller had not informed the subject about these policies.",Article 5 - Principles relating to processing of personal data,non-compliant
"The German branch of Facebook was fined by €51,000 because it failed to appoint a data protection officer. Facebook argued that it did in fact appoint a data protection officer in Ireland who acted as a data protection officer for all the local European Facebook branches. The Data Protection Authority of Hamburg, however, argued that Facebook did not notify the German authority about this appointment, and as such, the fine is valid. The reason the fine was relatively small was that Facebook did, after all, appoint a DPO but failed to notify German authorities. The fine was given to Facebook Germany GmbH, which is the local German branch of the company.The fine was issued sometimes in 2019 but was only made public by the Data Protection Authority of Hamburg in February 2020. The exact date of the fine was not revealed.",Article 37 - Designation of the data protection officer,non-compliant
"Leave.EU subscriber emails contained marketing ads related to the GoSkippy services of the Eldon Insurance firm. The data subjects did not give their consent to this, hence the fine issued by the ICO.","Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 7 - Conditions for consent",non-compliant
A nursing care organization failed to act on a request by a data subject to receive access to their data with the scope of erasing it.,"Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
A client&#8217;s personal data was accessed without authorization. The AEPD explained that this happened due to lack of technical and organizational measures taken by the company to ensure information security.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"During a corporate merger, a new entity conducts comprehensive data privacy training for all employees to ensure continued GDPR compliance.",Not Specified,compliant
An individual using a dashcam for recording public road traffic obtains necessary permissions and ensures legal compliance before publishing any footage on platforms like YouTube. They respect privacy laws and avoid capturing identifiable data without consent.,Not Specified,compliant
The SOS Infertility Association failed to provide the necessary data to the data protection authority after it had unlawfully processed personal data of its clients.,Article 31 - Cooperation with the supervisory authority,non-compliant
"An online marketing company implements a robust consent management system, allowing users to easily give, deny, or withdraw consent for different types of data processing.",Not Specified,compliant
"While the trial hasn’t ended yet, the ICO intends to fine the company. This is in accordance with Art. 32 of the GDPR, which the company allegedly infringed in a cyber-incident in November 2018. The incident involved the public exposal of personal records belonging to over 339 million people, out of which 31 million were residents of the European Economic Area. This vulnerability is believed to have been present in the Starwood hotels group, which Marriott International acquired. Due to the inappropriate and insufficient attention paid to the security of the systems, the ICO believes a fine is in order.<strong>Notice:</strong> Marriott is facing a fine of €110,390,200, but this is not yet final. As such, it’s not included in our statistics dashboard.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"A newspaper was fined €10,000 after it had published both in electronic and physical form the names and pictures of three police investigators. The Cypriot Data Protection Commissioner considered that it would have been enough to publish only the initials of the police officers or photographs from which it would not have been possible to identify the three officials, such as using blurred faces.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A company ensures all documents containing personal information are shredded and securely disposed of. They follow strict protocols to maintain confidentiality and integrity of personal data, even in disposal.",Not Specified,compliant
"The taxi company was discovered having over 9 million person records that it stored unlawfully. Because the company hadn’t deleted this personal data, the Danish Data Protection Authority issued a fine.",Not Specified,non-compliant
"The Company experienced the data breach when it transferred the personal data of 18,610 customers to a partner organization. In doing so, the company allowed anyone to access the personal data because the “Anonymous Authentication” function was switched on. The data breach was active for two years.",Article 33 - Notification of a personal data breach to the supervisory authority,non-compliant
The national data protection authority determined that the company used the Bradford factor for profiling and monitoring sick leave and that this constituted unlawful processing of personal data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The Spanish Data Protection Authority determined that a customer of the company had access to the personal data of other customers.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
Personal data was disclosed to a third party. No further details were revealed.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
A private individual received an SMS from Xfera Móviles which was actually addressed to a different person and which included personal details of that third party person. The information included personal details as well as login details to the Xfera Móviles website for the third party person.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"An operator utilized an unfilled checkbox through which users could request that they do not receive any emails from the company. Since they couldn’t do that, they continued receiving information via email.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"ENDESA erroneously charged the claimant’s bank account, as the beneficiary of the energy supply company’s services was a third party. Upon request of the claimant that her data be deleted, ENDESA handled the data improperly and mistakenly sent it to the third party. Therefore, the AEPD considered that ENDESA had breached the confidentiality principle. It’s worth noting that the third party had been given a 2-year restraining order regarding the data subject.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company was fined for sending marketing messages without consent. No measures were taken to permit phone users to block these messages and no measures were provided that would have allowed the contacted individuals to opt-out of receiving these messages.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The sports association published personal data related to judges who had received judicial licenses online. Moreover, the exact addresses and PESEL numbers of these judges became public. As the sports association acted outside the law, fines were in order. However, there were mitigating circumstances in that the sports association immediately noticed its mistakes and attempted to remove the data from the public domain. Still, these attempts were ineffective, and a penalty was issued. The 585 judges had suffered no damage because of this, so the penalty was adjusted by the president of the Office of Competition and Consumer Protection.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Morele.net was sanctioned with a fine of PLN 2.8 million because it hadn’t ensured the proper security standards of customers’ data. As a consequence, more than 2.2 million people had their personal data accessed illegally.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"Personal data in the form of documents were thrown to the garbage dump, which is an improper method of disposing of such documents.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"A bank had retained the personal data of former customers in order to create a blacklist. Apparently, they wanted to prevent those customers from opening up new accounts at their bank because they were suspected of money laundering. While the bank wanted to hand-wave away this unlawful act by appealing to the German Banking Act, the Berlin Supervisory Authority found this to be illegal.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The data controllers didn’t exert sufficient rigorousness when handling personal client data, which led to the displacement of a flash memory stick with personal data.","Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
The organization processed personal data of its members even after the AEPD warned it that the processing was unlawful without the consent of the affected individuals.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"An online game operator was exposed to a DDoS attack that led to the malfunctioning of the game serves. The attackers blackmailed the operator into paying money for the attacks to stop. As part of the &#8220;deal&#8221;, the attackers offered the operator to create and implement a better firewall protection system that would prevent any future attacks from other parties. The operator agreed to this &#8220;deal&#8221;. The game operator then implemented the new code which indeed proved to be better than the old one used but &#8211; let&#8217;s be honest, unsurprisingly &#8211; also included a backdoor that allowed the attacker to steal all the data that was on the server which included player details and personal information. The attacker uploaded this information on their website after that.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The Company did not have the appropriate organizational measures in place that would allow data subjects to withdraw their consent to the processing of personal data. Moreover, the data subjects also couldn’t easily request the deletion of their personal data.",Not Specified,non-compliant
An individual reported having had access to the personal data to third parties in their personal Vodafone profile.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The Royal Dutch Tennis Association (&#8220;KNLTB&#8221;) was fined a total of €525,000 for selling the personal data of more than 350,000 of its members to sponsors. The sponsors have then contacted some of these individuals by email and telephone for marketing purposes. Personal data sold included the name, gender, and address of various individuals. No consent was obtained from the affected individuals beforehand. The Royal Dutch Tennis Association (&#8220;KNLTB&#8221;) argued that it had a legitimate interest to sell this data, and as such did not commit a GDPR breach. The Dutch Data Protection Authority, however, rejected this and ruled that KNLTB had no legal basis to sell the personal data of its members to third parties.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
A third party had access to and modified the personal data of a customer that was included in a contract. The third party had no legal basis to access the data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A fine of €20,000 was issued to the Romanian national airline Tarom because it failed to implement the necessary technical measures to ensure the security of personal information. As a consequence of these inadequate measures, a Tarom employee was able to access the flight booking application without authorization and see the personal data of 22 passengers, after which the employee took a photo of the list and made it public online.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
Raiffeisen Bank Romania did not observe the necessary security measures required by the GDPR when it assessed the scores of individuals on the WhatsApp platform. The personal data was exchanged via WhatsApp.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The national data protection authority determined that the company used the Bradford factor for profiling and monitoring sick leave and that this constituted unlawful processing of personal data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Vueling Airlines made it impossible for users to access their website without accepting the cookies. Therefore, one couldn’t browse the website unless they accepted the cookies. The AEPD sanctioned the company with 30.000 euros","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A merchant was found guilty of trying to create a customer card using an electronic identity card. In doing so, the merchant would have needed access to personal information on the electronic identity card, including photo and barcode. The fine was 10.000 euros.",Article 5 - Principles relating to processing of personal data,non-compliant
"Google was fined with €7,000,000 by the Swedish Data Protection Authority due to failing to adequately comply with its obligations regarding the right of data subjects to have their search results removed from Google search. The Data Protection Authority of Sweden had already completed an investigation on Google in 2017 where it investigated how the company dealt with individuals&#8217; requests to be removed from search results. At that time, the Data Protection Authority instructed Google to be more pro-active in executing these removal requests. In 2018 the Authority initialed a further investigation after it was reported that Google did not remove search results related to individuals even after the earlier instructions in 2017 to do so. The Authority also questioned Google&#8217;s practice of informing website owners about which search results Google had removed, specifically which link (search result) has been removed and who was behind the removal request.",Article 5 - Principles relating to processing of personal data,non-compliant
A person was charged by the phone operator Telefónica for a telephone service that they never requested and owned. This happened because the bank account of the affected person was linked to the Telefónica profile of another person and as such the fees for the service were deduced from the affected person&#8217;s account. The AEDP ruled that this was against the principles described by article 5 of GDPR.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The private person has an insufficient legal basis for using a dashcam to record public road traffic and publish it on YouTube as being part of a compilation.,Article 5 - Principles relating to processing of personal data,non-compliant
"An online gaming platform implements a reliable age verification system to ensure they do not inadvertently collect data from minors, in compliance with GDPR's age consent laws.",Not Specified,compliant
"A huge fine of €27,8 million was issued to the Italian telecom company TIM. The Italian Data Protection Authority (Garante) revealed that TIM was fined due to numerous unlawful data processing activities related to marketing and advertising, which included unsolicited promotional calls and prize competitions in which data subjects were entered without consent.One of the reasons for the large fine was the fact that the unlawful data processing activities involved several million individuals. One individual, for example, was called a total of 155 times in a month while TIM refused to add the affected individual on a no-call list even after several requests. The DPA determined that the company lacked control over the call centers and did not have adequate measures to add people to no-call lists.TIM also did not provide accurate and detailed enough privacy policies and data processing policies, and as such consumers were not efficiently informed about the data collected and processed. The company&#8217;s management of data breaches was also not efficient according to Garante.Besides the fine, Garante also imposed 20 corrective measures according to Art. 58(2) GDPR which prohibits TIM from processing marketing-related data of those individuals who have refused to receive promotional calls, individuals who asked to be blacklisted and individuals who are not clients of TIM.The company was also forbidden from using customer data collected from the &#8220;My Tim&#8221;, &#8220;Tim Personal&#8221; and &#8220;Tim Smart Kid&#8221; apps.",Article 31 - Cooperation with the supervisory authority,non-compliant
"Dante International respects customers' decisions to unsubscribe from commercial communications. They have an automated system that immediately processes unsubscribe requests, ensuring no further commercial emails are sent to those who opt-out.",Not Specified,compliant
"The personal data administrator unlawfully processed personal data of subject D.D related to an Employment Contract, while the subject was imprisoned.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The hospital unlawfully charged a copying fee from the patient and violated their right to access data.,Article 46 - Transfers subject to appropriate safeguards,non-compliant
A private individual complained to the Data Protection Commission of Bulgaria (KZLD) that a debt collection agency has information about her accounts and status of those accounts with the purpose of collecting tax owned by the complainant. The KZLD concluded that the agency had no legal basis to obtain and process the data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The Italian Data Protection Authority (Garante) imposed two fines of €11,5 million total on Eni Gas and Luce because of the unlawful processing of personal data during an advertising campaign as well as for the activation of unsolicited contracts. This first fine of €8,5 million was issued for the unlawful processing of personal data in the context of a marketing campaign. The company made promotional calls without the consent of the contacted people and refused to acknowledge people&#8217;s wishes to be added onto a &#8220;do not contact&#8221; list. The company also did not provide an opt-out procedure for these unsolicited calls. The DPA also determined that the company lacked sufficient technical and organizational measures to protect users&#8217; personal data. Data was also processed longer than the allowed retention period. According to the DPA, some data was also collected from third party entities that did not have consent from the data subjects to disclose that data.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
HVV GmbH has a system in place for immediate reporting of any data breaches to the data protection authority. They also regularly update the security of their Customer E-Service to prevent unauthorized access.,Not Specified,compliant
"A website that provided legal information and news only had its privacy policy page available in English, even though it was also addressing the French and Dutch-speaking markets. Also, the privacy policy page was not easily accessible and did not mention the legal basis for the processing of data, as required by the GDPR. The website also used Google Analytics without effective consent.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Futura Internationale was fined because after several individuals have complained that they were cold-called by the company even after they have expressly requested not to be called again. The reason why the fine was so high relative to similar cases and fines was that the CNIL determined that the company had received a large number of letters requesting to be taken off from the call lists but decided to ignore them. More so, Futura Internationale was found to store excessive information about customers and their health data. The company did also not inform their customers about the processing of their personal data and that all telephone conversations were recorded.",Article 46 - Transfers subject to appropriate safeguards,non-compliant
A teacher had sent an email to parents and students that contained an attachment that had detailed information on the well-being and academic performance of all students.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The company acquired a photocopy of a person&#8217;s ID card with the person&#8217;s consent but continued to use and process the personal data even after the affected person had withdrawn their consent.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company did not process the data using the appropriate security measures required to prevent unlawful alteration or destruction of the data.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"A private individual complained that the company had used their personal data that included their first and last name, address and VAT number in order to open an electricity supply contract. The individual was a former customer of the company, and as such the company was not allowed anymore to reuse the former customer&#8217;s data without their permission.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
Raiffeisen Bank Romania did not observe the necessary security measures required by the GDPR when it assessed the scores of individuals on the WhatsApp platform. The personal data was exchanged via WhatsApp.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The political party did not notify the NAIH about a data breach. Moreover, it didn’t document the data breach as per GDPR article 33.5. Therefore, the political party received a fine of HUF 11.000.000 (equivalent to 34.375 EUR). The hacker behind the breach had used a redirection attack on the official website of the political party and disclosed information about more than 6.000 people.","Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
"The company was fined due to several deficiencies in information security. Two clients of the company had received the same security access key, allowing to view each others&#8217; personal details.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"Two Belgian politicians, a city councilor and a mayor have been fined €5,000 each for sending out campaign emails to recipients who have not consented to receive such emails.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The company was fined because it processed personal data such as name, tax identification number, address and phone number without the consent of the affected individuals.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A mobile app development company focuses on privacy-centric design, ensuring minimal data collection and secure data storage.",Not Specified,compliant
"Google was fined with €7,000,000 by the Swedish Data Protection Authority due to failing to adequately comply with its obligations regarding the right of data subjects to have their search results removed from Google search. The Data Protection Authority of Sweden had already completed an investigation on Google in 2017 where it investigated how the company dealt with individuals&#8217; requests to be removed from search results. At that time, the Data Protection Authority instructed Google to be more pro-active in executing these removal requests. In 2018 the Authority initialed a further investigation after it was reported that Google did not remove search results related to individuals even after the earlier instructions in 2017 to do so. The Authority also questioned Google&#8217;s practice of informing website owners about which search results Google had removed, specifically which link (search result) has been removed and who was behind the removal request.",Article 5 - Principles relating to processing of personal data,non-compliant
"An online credit agency transferred an undue credit claim to a debt collecting agency, providing the agency with the subject’s email address. However, the debt collecting agency sent emails to the company where the subject worked. This institutional email was accessible by all employees of that company. The online credit agency had not provided these emails.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Enel Energie employs strong organizational and technical measures to prevent data mix-ups. They use a dedicated system to ensure that emails contain only the intended recipient's personal information, maintaining strict data separation protocols.",Not Specified,compliant
"The fine was issued on the following grounds: insufficient security measures established on the app launched by an Oslo school. This app allowed students and parents to contact teachers in real-time. However, unauthorized access was detected, and unknown people gained access to personal data related to students and school employees.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"A mobile application explicitly asks for user consent before activating location tracking features, complying with GDPR’s requirements on consent and transparency.",Not Specified,compliant
"The bank erroneously sent the subject’s credit card data to another person via SMS. Despite the data subject’s request to erase the data, the bank continued to send SMS messages to that incorrect telephone number. The bank was fined about 0.00016% of the annual net revenue.",Article 5 - Principles relating to processing of personal data,non-compliant
"The fine was issued after a complaint alleging that Enel Energie had processed an individual&#8217;s personal data and that the natural gas and electricity company was unable to prove it obtained the individual&#8217;s consent to send email notifications. The national data protection authority also explained that the company had not taken the required measures to stop the transmission of the email notifications even after the affected person had made a request to this end. The company was fined two times €3,000.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"According to the AEPD, Cafetería Nagasaki did not comply with its obligations under the GDPR because it installed surveillance cameras in such a way that it also monitored the public space outside of the restaurant which also captured pedestrians on the street.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Postal advertisements and commercial offers were sent by Jocker Premium Invex to a registrant to a local census, even though the registrant did not consent to receive such advertisements and offers.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A real estate agency implements procedures to regularly update and correct personal data they hold, ensuring accuracy and compliance with GDPR.",Not Specified,compliant
The company was fined because it sent a contract that included the name and address and contact details of a client to a third party by accident.,Article 5 - Principles relating to processing of personal data,non-compliant
"No data processing agreement has been concluded with the company whose servers contained the resources of the Public Information Bulletin (BIP) of the Municipal Office in Aleksandrów Kujawski. For this reason, a fine of 40.000 PLN (9400 EUR) was imposed on the mayor of the city.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Data leakage due to the inappropriate security and organizational measures of the company. Information related to more than 23.000 credits records belonging to more than 33.000 customers were made public. The data included names, ID numbers, biometric data, addresses, and copies of identity cards.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The Data Protection Authority found that the City had published personal data on the official city website in violation of the law, and without asking for the consent of the data subjects. The City had claimed that it was doing this attempting to fulfill the Freedom of Information Act’s premises.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The national data protection authority determined that the company used the Bradford factor for profiling and monitoring sick leave and that this constituted unlawful processing of personal data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The merchant had ignored a client’s demands to stop processing personal data, in particular, the phone number. The merchant had continued sending the subject advertising messages to the subject&#8217;s phone number.",Article 46 - Transfers subject to appropriate safeguards,non-compliant
"A mobile app developer integrates privacy by design principles, ensuring that personal data protection is a core feature of their products from the outset.",Not Specified,compliant
"An e-commerce platform has comprehensive protocols to promptly respond to data subject requests, including access, rectification, and deletion of data.",Not Specified,compliant
The Spanish Data Protection Authority determined that the company did not publish a privacy statement on its website and the short legal notice that was posted was not enough to properly identify the company and explain its data processing policies.,"Article 12 - Transparent information, communication and modalities for the exercise of the rights of the data subject",non-compliant
"The Company failed to observe Art.14 of the GDPR, which states that the data controller must inform the data subject of the processing of personal data. The DPA has stated that Bisnode has three months to notify a total of 6 million people of this.","Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 7 - Conditions for consent",non-compliant
"A private person sent several emails containing the email addresses of several subjects, and each subject could see other recipients of that email. In the person’s mailing list, more than 131 email addresses had been found. He was accused of ten such offenses.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
A third party had access to and modified the personal data of a customer that was included in a contract. The third party had no legal basis to access the data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A retail chain uses encrypted databases for storing customer data and restricts access to authorized personnel, ensuring secure handling of personal information.",Not Specified,compliant
The gas company did not have the necessary technical measures in place to verify the identity of the subjects&#8217; data. It was alleged by a third party that the company emailed their information to a third party in regards to a request.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The Aegean Marine Petroleum Network Inc. failed to inform data subjects that they would have their data processed and stored on the servers. Moreover, the company failed to impose the necessary technical measures and secure the processing of such large amounts of data, while also failing to impose a separation between the relevant software and the data stored on the servers. As a result, companies outside the Aegean Marine Petroleum Group had access to these servers and, implicitly, to the personal data of data subjects, which they copied from the servers.",Article 5 - Principles relating to processing of personal data,non-compliant
"A huge fine of €27,8 million was issued to the Italian telecom company TIM. The Italian Data Protection Authority (Garante) revealed that TIM was fined due to numerous unlawful data processing activities related to marketing and advertising, which included unsolicited promotional calls and prize competitions in which data subjects were entered without consent.One of the reasons for the large fine was the fact that the unlawful data processing activities involved several million individuals. One individual, for example, was called a total of 155 times in a month while TIM refused to add the affected individual on a no-call list even after several requests. The DPA determined that the company lacked control over the call centers and did not have adequate measures to add people to no-call lists.TIM also did not provide accurate and detailed enough privacy policies and data processing policies, and as such consumers were not efficiently informed about the data collected and processed. The company&#8217;s management of data breaches was also not efficient according to Garante.Besides the fine, Garante also imposed 20 corrective measures according to Art. 58(2) GDPR which prohibits TIM from processing marketing-related data of those individuals who have refused to receive promotional calls, individuals who asked to be blacklisted and individuals who are not clients of TIM.The company was also forbidden from using customer data collected from the &#8220;My Tim&#8221;, &#8220;Tim Personal&#8221; and &#8220;Tim Smart Kid&#8221; apps.",Article 31 - Cooperation with the supervisory authority,non-compliant
A data controller failed to allow the data subject access.,Article 46 - Transfers subject to appropriate safeguards,non-compliant
"The General Confederation of Labour emailed personal data of a complainant with the aim of organizing a meeting. This included the name, home address, relationship status, pregnancy status and the date of an ongoing harassment case. The email was sent to around 400 members of the organization with the affected individual&#8217;s consent.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Enel Energie sent a client an email that contained the personal information of another client, failing to employ the necessary organizational and technical measures.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"A tech startup conducts a Data Privacy Impact Assessment for every new product they develop, ensuring privacy concerns are addressed from the beginning.",Not Specified,compliant
A hospital appoints a Data Protection Officer to oversee and advise on all matters related to the processing of patient data in compliance with GDPR.,Not Specified,compliant
"A fine was issued to the National Football League (LaLiga) because it had failed to inform users of the implications contained within the app it offered. This app remotely accessed the users&#8217; microphones once every minute to check pubs screening football matches. The AEPD thinks that the users were not sufficiently informed of this. Moreover, the users did not have the adequate possibility to withdraw their consent, once given.","Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
The marketing staff of the health insurance company Menzis had access to patients&#8217; data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The company in question, Dante International, failed to observe the right of a customer to unsubscribe from commercial communications and sent a commercial e-mail to the client in spite of that.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Upon creation of an applicant portal where interested parties could apply their documents for a job, the food company failed to encrypt the applicant portal. The transmission of the data had no encryption and the data storage was completely unencrypted and offered no password-protected security systems. Moreover, the data was linked to Google, so anyone could find the applicants&#8217; documents and retrieve them after a simple Google search.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The political party did not notify the NAIH about a data breach. Moreover, it didn’t document the data breach as per GDPR article 33.5. Therefore, the political party received a fine of HUF 11.000.000 (equivalent to 34.375 EUR). The hacker behind the breach had used a redirection attack on the official website of the political party and disclosed information about more than 6.000 people.","Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
Invoicing details of a customer were sent to a third party customer during an invoicing complaint.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"Two Belgian politicians, a city councilor and a mayor have been fined €5,000 each for sending out campaign emails to recipients who have not consented to receive such emails.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The video surveillance cameras had been misused, clearly not in accord with the data minimization principle.",Article 5 - Principles relating to processing of personal data,non-compliant
The electricity company Iberdrola Clientes closed a client&#8217;s contract without their consent and opened three new contracts on their name also without their consent. The company also transferred the client&#8217;s personal data to third-party entities without a legal basis.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
